time,forecast
1911,-16.69693223
1912,-0.002388035
1913,3.109712114
1914,2.290132467
1915,13.943386
1916,-0.51820521
1917,-8.607861383
1918,-4.029936753
1919,-24.38497864
1920,0.399250172
1921,1.06356705
1922,9.317834276
1923,6.958529443
1924,2.768072513
1925,-6.739568712
1926,11.81322851
1927,-9.4713176
1928,-5.349729314
1929,9.052429128
1930,-8.013342852
1931,2.863110495
1932,10.89856392
1933,3.92468119
1934,3.736918181
1935,-5.329450184
1936,-5.587364629
1937,-7.066173616
1938,3.594635291
1939,5.290564566
1940,-2.620628968
1941,-6.700437299
1942,-4.05159838
1943,-15.06042738
1944,-3.119955581
1945,-2.124499566
1946,3.20226823
1947,13.51824151
1948,2.427332442
1949,3.285724575
1950,-7.924087037
1951,16.77789955
1952,17.5524107
1953,3.80269672
1954,7.645002923
1955,1.179622273
1956,-5.858068873
1957,2.017988661
1958,-5.490659813
1959,-3.708029585
1960,-11.71996126
1961,-4.082180094
1962,8.573254678
1963,7.448268212
1964,-0.897956413
1965,7.487524509
1966,3.550423073
1967,1.390352816
1968,12.43433883
1969,-7.759591648
1970,2.110024311
1971,1.589052934
1972,8.913149256
1973,3.111246968
1974,10.20256156
1975,-15.44161894
1976,3.364785401
1977,-1.746647191
1978,1.452487552
1979,-2.757815564
1980,1.561948386
1981,-5.23503493
1982,-2.314264113
1983,-2.0256531
1984,-13.25950013
1985,20.83366214
1986,7.53857576
1987,7.254187259
1988,-2.297389376
1989,1.563804389
1990,2.384991714
1991,6.319213981
1992,-6.524624175
1993,-7.125347308
1994,1.672932047
1995,-8.633405792
1996,6.939528112
1997,1.654850691
1998,-2.637381473
1999,6.242001372
2000,-0.738883481
2001,21.03132711
2002,-3.212450787
2003,-9.579290912
2004,5.763309974
2005,4.472716013
2006,-9.175636734
2007,8.623685396
2008,-6.410917825
2009,21.20370194
2010,7.027205949
2011,-4.301875036
2012,-6.612789879
2013,4.320320092
2014,-16.06255799
2015,-2.162364281
2016,-5.149976988
2017,3.252682069
2018,10.07483724
2019,-10.80128827
2020,2.208381985
2021,-9.804241663
2022,-16.40961343
2023,-9.622550451
2024,1.793248004
2025,0.054255949
2026,5.695511961
2027,-6.644678782
2028,14.81265856
2029,-0.078171525
2030,6.689462853
2031,-3.244167201
2032,1.564579109
2033,-3.736232068
2034,1.775204128
2035,-1.81637654
2036,-6.533054549
2037,-0.664984228
2038,12.05212199
2039,-13.80723227
2040,-11.78254043
2041,7.143174307
2042,7.457767516
2043,6.159668426
2044,-1.412207949
2045,-5.696604918
2046,-2.989640448
2047,11.15213781
